	SHH_WT_models_highres10707.py	SHH_WT_models_highres3231.py	SHH_WT_models_highres35888.py	SHH_WT_models_highres20684.py	SHH_WT_models_highres40627.py	SHH_WT_models_highres24225.py	SHH_WT_models_highres23364.py	SHH_WT_models_highres15190.py	SHH_WT_models_highres27253.py	SHH_WT_models_highres12843.py	SHH_WT_models_highres42759.py	SHH_WT_models_highres31883.py	SHH_WT_models_highres47931.py	SHH_WT_models_highres48059.py	SHH_WT_models_highres16260.py	SHH_WT_models_highres39011.py	SHH_WT_models_highres7416.py	SHH_WT_models_highres24273.py	SHH_WT_models_highres44329.py	SHH_WT_models_highres8834.py	SHH_WT_models_highres30274.py	SHH_WT_models_highres4341.py	SHH_WT_models_highres7736.py	SHH_WT_models_highres8869.py	SHH_WT_models_highres1378.py	SHH_WT_models_highres4863.py	SHH_WT_models_highres42121.py	SHH_WT_models_highres44157.py	SHH_WT_models_highres38493.py	SHH_WT_models_highres32152.py	SHH_WT_models_highres9291.py	SHH_WT_models_highres49590.py	SHH_WT_models_highres12741.py	SHH_WT_models_highres32352.py	SHH_WT_models_highres27213.py	SHH_WT_models_highres4191.py	SHH_WT_models_highres45161.py	SHH_WT_models_highres33371.py	SHH_WT_models_highres36644.py	SHH_WT_models_highres5327.py	SHH_WT_models_highres40612.py	SHH_WT_models_highres7009.py	SHH_WT_models_highres45679.py	SHH_WT_models_highres31237.py	SHH_WT_models_highres38046.py	SHH_WT_models_highres46795.py	SHH_WT_models_highres40714.py	SHH_WT_models_highres32499.py	SHH_WT_models_highres46847.py	SHH_WT_models_highres11523.py	SHH_WT_models_highres9943.py	SHH_WT_models_highres34831.py	SHH_WT_models_highres15191.py	SHH_WT_models_highres9675.py	SHH_WT_models_highres34949.py	SHH_WT_models_highres30124.py	SHH_WT_models_highres40847.py	SHH_WT_models_highres12921.py	SHH_WT_models_highres38933.py	SHH_WT_models_highres26145.py	SHH_WT_models_highres2200.py	SHH_WT_models_highres17007.py	SHH_WT_models_highres15002.py	SHH_WT_models_highres27394.py	SHH_WT_models_highres34461.py	SHH_WT_models_highres15620.py	SHH_WT_models_highres44104.py	SHH_WT_models_highres8601.py	SHH_WT_models_highres29052.py	SHH_WT_models_highres27492.py	SHH_WT_models_highres40816.py	SHH_WT_models_highres23466.py	SHH_WT_models_highres5002.py	SHH_WT_models_highres8490.py	SHH_WT_models_highres15001.py	SHH_WT_models_highres40730.py	SHH_WT_models_highres9303.py	SHH_WT_models_highres1427.py	SHH_WT_models_highres4519.py	SHH_WT_models_highres29850.py	SHH_WT_models_highres6063.py	SHH_WT_models_highres9547.py	SHH_WT_models_highres42018.py	SHH_WT_models_highres16398.py	SHH_WT_models_highres43177.py	
SHH_WT_models_highres26145.py	302.698	1710.334	1714.647	438.875	280.533	434.356	1686.962	225.068	124.401	331.703	411.351	270.389	338.884	434.693	428.106	281.435	317.988	1742.449	278.033	442.45	322.028	456.616	339.65	262.476	1704.768	1673.755	1687.282	1727.138	265.036	392.743	1701.606	441.849	1667.459	451.439	413.484	1712.653	459.661	324.94	1728.709	1709.354	1726.534	1631.973	214.67	1757.462	347.2	381.522	490.397	1690.174	347.492	1741.71	291.671	1724.603	1695.982	328.308	1715.355	1687.829	265.479	354.75	1657.568	0.0	352.496	1676.956	422.448	445.508	1644.344	333.886	1666.378	1651.411	448.159	341.164	423.656	477.488	366.594	233.623	1691.551	1689.728	393.05	1694.503	352.274	381.984	1673.753	1704.875	1624.279	391.436	1735.552	
SHH_WT_models_highres2200.py	207.694	1763.237	1759.039	372.174	353.248	386.484	1746.366	325.347	331.288	182.414	329.598	295.544	271.145	418.434	365.522	292.882	185.25	1787.328	291.869	492.59	291.31	370.973	312.507	332.432	1771.636	1725.437	1732.437	1767.335	254.406	408.014	1752.473	362.43	1722.552	381.179	433.696	1772.518	369.221	309.0	1777.622	1758.756	1769.932	1685.279	351.556	1809.191	456.028	392.739	417.854	1754.033	325.778	1777.832	310.932	1772.615	1759.3	307.141	1757.249	1736.758	323.16	224.393	1729.221	352.496	0.0	1729.218	418.764	267.995	1689.306	291.543	1729.616	1708.61	290.312	234.194	429.229	417.51	348.884	332.099	1740.926	1739.462	418.536	1743.957	322.588	414.959	1727.171	1754.727	1680.349	279.706	1774.0	
SHH_WT_models_highres17007.py	1690.576	382.402	411.625	1661.674	1648.14	1684.776	237.659	1679.44	1683.347	1691.804	1713.001	1729.598	1730.499	1690.495	1686.212	1735.896	1700.589	355.111	1714.681	1616.668	1729.075	1670.787	1692.783	1700.009	244.284	109.536	500.338	409.516	1704.56	1688.963	365.974	1673.024	128.452	1675.002	1672.744	209.255	1695.407	1720.994	358.812	355.329	378.111	369.405	1675.808	577.852	1633.449	1697.444	1681.627	235.97	1683.18	412.7	1733.258	257.178	370.77	1699.685	483.507	389.074	1714.73	1737.518	265.4	1676.956	1729.218	0.0	1689.872	1734.056	507.97	1743.918	275.13	157.166	1736.425	1673.516	1647.979	1669.201	1721.831	1689.701	486.094	516.866	1691.465	463.146	1699.07	1679.204	123.734	347.056	505.076	1727.978	420.784	
SHH_WT_models_highres15002.py	426.294	1752.868	1748.92	282.127	501.158	279.413	1723.788	394.831	404.441	414.014	502.805	356.556	361.123	244.726	269.481	317.056	419.2	1755.464	320.956	384.945	336.204	312.38	463.026	387.691	1732.876	1689.926	1733.386	1745.954	361.005	145.685	1738.473	334.507	1685.22	188.581	237.365	1730.308	287.081	421.99	1751.023	1734.338	1747.469	1662.936	397.767	1753.402	278.555	259.968	354.954	1710.157	480.983	1775.79	316.266	1714.892	1760.595	360.061	1749.268	1728.336	366.595	424.236	1696.081	422.448	418.764	1689.872	0.0	417.479	1698.506	354.618	1697.578	1679.413	402.626	457.318	360.733	342.765	312.068	379.028	1723.805	1686.321	218.857	1735.042	462.34	213.578	1694.73	1728.767	1670.975	479.232	1761.997	
SHH_WT_models_highres27394.py	336.866	1746.892	1736.457	433.497	423.487	424.608	1733.172	335.566	396.469	272.017	429.153	318.798	199.752	389.777	389.241	309.614	276.969	1767.441	306.701	516.727	254.919	441.978	267.339	411.776	1761.049	1728.647	1715.833	1742.997	309.652	445.103	1735.689	439.393	1717.482	363.007	468.014	1760.021	408.727	319.021	1761.301	1748.48	1747.406	1669.534	350.506	1810.391	475.764	456.089	461.584	1752.199	351.064	1757.177	322.121	1761.425	1756.584	287.286	1729.577	1715.375	379.079	262.684	1724.091	445.508	267.995	1734.056	417.479	0.0	1668.016	320.613	1715.321	1705.803	205.844	353.209	477.961	443.273	317.779	331.106	1712.432	1706.711	450.322	1745.75	358.787	466.646	1723.343	1748.412	1675.084	419.753	1746.065	
SHH_WT_models_highres34461.py	1658.436	322.023	310.618	1662.023	1595.359	1679.245	385.074	1635.197	1640.602	1655.271	1694.841	1693.964	1679.063	1673.173	1671.981	1693.046	1663.211	381.007	1686.979	1610.999	1680.707	1677.931	1621.279	1676.863	447.655	477.825	304.408	366.314	1676.996	1703.553	365.704	1678.827	489.538	1672.209	1689.078	465.925	1690.586	1668.731	395.382	373.111	376.162	371.792	1632.792	761.755	1619.35	1695.051	1708.311	472.538	1635.343	368.652	1699.013	456.693	485.981	1663.72	334.541	353.056	1699.834	1679.411	452.503	1644.344	1689.306	507.97	1698.506	1668.016	0.0	1708.681	429.554	512.932	1684.029	1644.988	1637.1	1669.074	1703.187	1643.615	313.266	390.236	1713.111	534.459	1649.248	1698.126	506.286	438.903	398.946	1716.782	373.319	
SHH_WT_models_highres15620.py	346.653	1782.318	1770.053	436.78	430.788	442.061	1760.517	269.545	327.876	335.427	429.852	273.778	278.178	414.827	419.214	215.87	304.825	1784.76	225.901	524.612	250.146	471.331	372.139	325.639	1776.803	1744.135	1753.058	1759.966	254.922	380.98	1763.902	439.272	1735.626	380.057	436.761	1779.238	442.914	362.045	1790.405	1778.437	1769.603	1694.689	310.718	1817.622	438.894	418.08	484.933	1769.745	368.128	1786.516	202.725	1774.533	1773.78	249.948	1767.858	1744.057	279.422	348.914	1741.409	333.886	291.543	1743.918	354.618	320.613	1708.681	0.0	1735.663	1722.884	303.417	366.115	464.587	502.721	219.159	284.698	1750.476	1739.893	409.669	1757.543	388.065	358.297	1741.497	1779.775	1704.253	387.14	1765.313	
SHH_WT_models_highres44104.py	1694.662	375.084	355.425	1676.004	1643.543	1696.499	202.436	1668.087	1672.421	1693.269	1725.433	1724.336	1718.359	1692.103	1692.106	1724.503	1698.847	404.736	1706.92	1620.924	1714.413	1691.328	1674.86	1698.768	212.763	275.502	441.037	407.165	1701.716	1702.118	413.741	1689.696	264.74	1680.867	1688.943	242.621	1708.003	1710.99	424.66	416.741	406.961	219.374	1663.26	623.795	1629.573	1706.495	1706.731	294.726	1678.061	397.007	1721.469	252.061	349.84	1689.942	391.29	371.124	1714.85	1727.162	230.238	1666.378	1729.616	275.13	1697.578	1715.321	429.554	1735.663	0.0	308.412	1721.29	1676.604	1649.354	1687.067	1709.312	1675.159	378.035	417.576	1706.551	434.633	1692.779	1689.806	288.882	455.682	500.616	1744.493	421.35	
SHH_WT_models_highres8601.py	1669.223	398.0	428.137	1642.465	1622.344	1666.751	255.706	1654.234	1656.803	1670.029	1700.733	1710.387	1703.763	1667.793	1658.663	1714.195	1677.049	393.877	1695.495	1591.891	1702.714	1658.383	1660.47	1678.483	281.415	166.525	513.93	442.897	1683.232	1682.421	398.338	1660.315	126.226	1663.67	1661.608	228.993	1678.584	1696.792	369.928	383.372	414.789	379.124	1649.094	590.543	1605.773	1676.486	1675.352	249.383	1658.145	441.374	1709.713	316.258	383.876	1675.825	524.676	405.777	1701.965	1712.209	290.967	1651.411	1708.61	157.166	1679.413	1705.803	512.932	1722.884	308.412	0.0	1714.555	1650.363	1626.433	1651.872	1704.42	1662.868	510.228	550.935	1686.35	495.94	1676.82	1671.284	125.322	352.342	466.545	1717.226	451.943	
SHH_WT_models_highres29052.py	378.071	1764.774	1745.782	466.02	455.077	455.028	1745.816	383.255	401.606	338.963	466.409	344.56	251.452	442.672	418.981	293.252	337.17	1779.945	303.752	554.515	266.916	468.096	358.25	432.71	1775.101	1734.366	1732.236	1749.411	331.207	433.547	1749.814	471.52	1723.696	366.131	492.731	1773.999	439.16	339.876	1776.512	1765.146	1757.006	1673.297	394.456	1828.706	497.614	456.614	496.935	1765.044	392.631	1768.871	307.777	1756.061	1764.832	310.771	1739.24	1730.467	394.64	294.505	1729.742	448.159	290.312	1736.425	402.626	205.844	1684.029	303.417	1721.29	1714.555	0.0	406.308	481.382	493.983	268.318	319.066	1721.062	1702.295	471.747	1735.45	367.198	469.963	1728.638	1764.999	1694.355	414.432	1752.109	
SHH_WT_models_highres27492.py	151.796	1714.969	1719.065	350.231	306.984	373.148	1691.699	300.597	328.324	181.672	328.088	288.959	324.539	395.829	377.237	338.413	204.652	1736.111	326.571	443.521	324.954	389.924	344.632	288.809	1714.024	1668.495	1686.567	1727.369	273.748	438.72	1699.648	366.363	1662.751	417.749	402.788	1712.715	362.027	328.944	1722.013	1699.289	1722.477	1632.318	361.991	1760.392	442.286	398.74	430.196	1695.785	369.17	1741.73	354.262	1720.682	1698.349	321.541	1722.972	1686.646	319.636	295.797	1675.01	341.164	234.194	1673.516	457.318	353.209	1644.988	366.115	1676.604	1650.363	406.308	0.0	450.541	382.51	438.233	378.57	1701.507	1698.171	415.199	1690.495	398.134	429.616	1668.818	1692.397	1623.892	323.508	1737.715	
SHH_WT_models_highres40816.py	440.42	1693.662	1693.899	310.779	375.115	286.472	1667.153	404.052	394.468	428.26	499.815	481.418	465.262	335.673	257.929	469.644	447.759	1706.713	465.911	242.702	457.564	295.543	413.232	502.068	1687.697	1641.388	1674.619	1696.671	466.963	328.338	1672.044	246.343	1641.298	326.643	370.248	1694.485	298.668	433.227	1697.512	1671.48	1690.934	1614.994	404.876	1732.042	270.631	328.922	348.161	1661.818	401.226	1718.496	486.697	1693.701	1726.529	470.067	1696.603	1665.649	494.151	438.679	1642.919	423.656	429.229	1647.979	360.733	477.961	1637.1	464.587	1649.354	1626.433	481.382	450.541	0.0	328.143	487.94	390.22	1672.183	1659.251	385.179	1721.807	398.055	343.36	1652.571	1667.104	1619.417	476.527	1711.105	
SHH_WT_models_highres23466.py	377.09	1727.79	1731.92	179.792	431.646	165.534	1699.53	440.095	448.698	363.898	454.129	418.126	416.203	213.029	206.685	453.501	392.676	1732.591	446.369	253.963	432.017	182.868	435.007	446.671	1720.801	1661.093	1707.188	1723.598	415.829	283.272	1710.329	210.801	1661.298	272.092	220.807	1715.087	196.915	419.0	1725.628	1693.646	1726.216	1643.965	458.107	1745.365	298.494	250.93	258.518	1686.192	468.036	1755.538	478.677	1715.833	1751.704	446.071	1734.643	1702.512	456.709	410.081	1677.868	477.488	417.51	1669.201	342.765	443.273	1669.074	502.721	1687.067	1651.872	493.983	382.51	328.143	0.0	511.694	468.9	1708.264	1693.478	251.265	1745.893	476.201	330.256	1670.279	1689.645	1644.402	465.197	1739.407	
SHH_WT_models_highres5002.py	396.709	1778.222	1766.911	457.54	476.262	447.831	1743.038	334.416	339.971	368.909	483.237	277.801	256.308	418.001	431.585	194.613	361.556	1790.485	199.43	538.484	225.353	485.34	406.622	353.575	1756.882	1722.746	1746.897	1762.025	292.459	356.19	1762.233	479.866	1713.354	349.222	432.491	1758.215	458.982	346.077	1785.284	1775.646	1770.234	1670.233	319.737	1804.056	438.222	415.387	497.716	1748.973	431.452	1788.127	194.045	1746.305	1756.576	276.208	1761.061	1741.271	295.98	337.44	1711.276	366.594	348.884	1721.831	312.068	317.779	1703.187	219.159	1709.312	1704.42	268.318	438.233	487.94	511.694	0.0	280.632	1737.493	1719.256	392.738	1734.468	393.982	371.158	1720.088	1773.436	1695.09	436.143	1766.533	
SHH_WT_models_highres8490.py	347.113	1717.771	1714.391	448.203	319.539	428.908	1697.131	235.761	199.999	335.671	424.955	280.301	267.317	408.757	404.884	249.177	325.693	1741.563	245.868	453.379	236.09	453.146	300.07	336.224	1718.724	1686.053	1688.363	1720.46	264.24	378.071	1705.372	452.383	1677.142	393.685	426.995	1724.33	434.652	288.729	1732.064	1717.893	1724.109	1635.706	216.108	1774.689	360.167	392.108	467.515	1705.701	297.271	1736.303	249.238	1726.177	1714.002	282.672	1711.737	1690.128	287.166	306.823	1670.878	233.623	332.099	1689.701	379.028	331.106	1643.615	284.698	1675.159	1662.868	319.066	378.57	390.22	468.9	280.632	0.0	1689.107	1681.704	405.451	1707.787	285.245	386.519	1683.124	1715.767	1636.255	396.918	1726.45	
SHH_WT_models_highres15001.py	1713.418	312.249	223.66	1706.253	1647.166	1718.948	400.428	1683.969	1688.065	1712.123	1749.479	1741.853	1725.905	1711.215	1712.47	1737.272	1717.443	348.786	1731.789	1641.284	1724.305	1721.089	1673.491	1727.205	428.379	466.308	385.487	282.901	1725.828	1732.804	352.007	1722.061	455.704	1704.76	1720.444	444.719	1732.527	1718.482	367.108	378.471	351.487	376.771	1679.696	748.212	1650.763	1734.351	1746.975	460.598	1688.577	330.036	1740.862	376.446	498.851	1709.961	153.237	326.971	1748.572	1729.417	447.037	1691.551	1740.926	486.094	1723.805	1712.432	313.266	1750.476	378.035	510.228	1721.062	1701.507	1672.183	1708.264	1737.493	1689.107	0.0	216.846	1743.325	486.237	1701.448	1730.68	484.547	438.332	491.616	1769.894	302.856	
SHH_WT_models_highres40730.py	1713.163	403.04	283.632	1692.248	1650.06	1705.063	448.632	1681.715	1686.857	1712.57	1748.018	1737.808	1719.343	1697.88	1696.888	1729.319	1713.928	369.559	1722.678	1635.186	1718.248	1702.993	1673.535	1724.697	492.012	508.536	448.848	276.313	1716.956	1701.41	375.99	1705.483	493.148	1674.03	1700.807	496.637	1717.94	1719.393	404.565	426.691	336.677	405.628	1678.78	780.802	1638.091	1718.436	1725.585	516.531	1685.341	384.076	1728.606	374.55	550.125	1700.644	251.835	365.211	1741.323	1729.267	505.679	1689.728	1739.462	516.866	1686.321	1706.711	390.236	1739.893	417.576	550.935	1702.295	1698.171	1659.251	1693.478	1719.256	1681.704	216.846	0.0	1717.876	475.53	1698.501	1706.084	521.392	471.022	559.654	1765.928	317.347	
SHH_WT_models_highres9303.py	386.258	1764.337	1766.571	232.573	474.501	225.406	1729.261	393.855	389.85	386.534	453.989	317.244	361.518	201.779	276.724	342.226	388.178	1763.907	332.885	349.628	353.077	263.281	456.124	349.616	1736.141	1689.879	1749.739	1763.5	332.945	156.178	1758.36	297.037	1691.326	245.296	130.052	1730.192	260.817	410.188	1770.7	1739.559	1766.246	1674.669	398.528	1740.132	258.924	199.528	293.875	1709.239	478.467	1789.376	358.672	1722.044	1759.997	378.728	1770.615	1747.292	332.898	409.381	1701.738	393.05	418.536	1691.465	218.857	450.322	1713.111	409.669	1706.551	1686.35	471.747	415.199	385.179	251.265	392.738	405.451	1743.325	1717.876	0.0	1751.026	479.369	207.81	1698.331	1738.525	1683.975	458.186	1781.745	
SHH_WT_models_highres1427.py	1708.065	522.109	476.366	1737.785	1665.59	1758.228	437.178	1700.018	1700.979	1713.098	1732.645	1745.679	1748.214	1758.248	1752.477	1749.846	1715.42	495.624	1732.95	1699.009	1750.448	1745.21	1708.675	1718.311	484.244	470.43	570.014	441.583	1716.324	1743.354	493.504	1747.343	452.225	1726.767	1741.914	450.666	1769.874	1743.558	506.012	517.166	472.056	440.835	1696.825	765.804	1702.742	1763.139	1754.225	539.796	1700.52	530.827	1741.617	377.068	278.449	1714.956	500.602	501.051	1732.555	1753.481	486.879	1694.503	1743.957	463.146	1735.042	1745.75	534.459	1757.543	434.633	495.94	1735.45	1690.495	1721.807	1745.893	1734.468	1707.787	486.237	475.53	1751.026	0.0	1716.945	1745.676	448.407	534.292	607.036	1745.225	468.764	
SHH_WT_models_highres4519.py	348.659	1722.956	1721.734	464.004	315.685	447.977	1712.888	327.857	292.45	325.904	323.72	369.965	333.359	453.757	418.522	357.344	347.931	1746.919	371.867	461.275	359.382	444.751	294.3	414.647	1734.368	1697.141	1681.173	1728.474	379.522	458.976	1715.783	433.792	1689.958	428.099	491.904	1737.868	455.886	301.827	1741.175	1723.866	1733.293	1653.854	292.958	1771.265	438.913	459.887	405.838	1718.187	190.954	1740.594	374.437	1739.236	1727.945	395.829	1719.986	1700.036	374.819	312.499	1685.006	352.274	322.588	1699.07	462.34	358.787	1649.248	388.065	1692.779	1676.82	367.198	398.134	398.055	476.201	393.982	285.245	1701.448	1698.501	479.369	1716.945	0.0	471.585	1695.484	1719.327	1639.603	287.655	1737.887	
SHH_WT_models_highres29850.py	397.504	1746.607	1750.171	247.369	482.301	278.97	1714.788	378.411	383.79	391.438	470.723	359.816	408.235	254.221	300.812	344.313	424.482	1756.021	345.206	346.35	365.324	292.64	489.311	346.744	1719.71	1677.699	1732.014	1756.537	372.047	167.156	1734.743	293.861	1680.22	252.793	214.756	1721.872	263.452	406.627	1755.181	1726.918	1753.75	1660.572	403.534	1740.28	257.917	247.748	335.519	1695.718	483.2	1771.682	341.683	1717.989	1751.123	381.73	1754.035	1729.538	335.132	453.463	1681.532	381.984	414.959	1679.204	213.578	466.646	1698.126	358.297	1689.806	1671.284	469.963	429.616	343.36	330.256	371.158	386.519	1730.68	1706.084	207.81	1745.676	471.585	0.0	1687.125	1726.854	1665.589	455.013	1774.983	
SHH_WT_models_highres6063.py	1686.723	404.345	425.997	1664.236	1643.558	1687.329	248.27	1673.607	1678.244	1687.573	1712.264	1725.699	1721.594	1688.579	1683.56	1731.186	1695.485	374.108	1711.787	1615.929	1720.549	1675.811	1682.79	1696.15	267.565	152.984	507.768	418.192	1699.658	1696.581	398.919	1678.609	92.567	1679.013	1677.793	195.475	1698.112	1714.32	367.816	381.593	409.114	356.439	1670.181	595.419	1632.193	1699.365	1687.978	269.296	1678.467	425.173	1726.477	255.05	345.317	1692.493	495.133	406.7	1714.677	1731.17	286.091	1673.753	1727.171	123.734	1694.73	1723.343	506.286	1741.497	288.882	125.322	1728.638	1668.818	1652.571	1670.279	1720.088	1683.124	484.547	521.392	1698.331	448.407	1695.484	1687.125	0.0	364.216	500.304	1729.593	430.761	
SHH_WT_models_highres9547.py	1711.95	272.761	307.68	1688.43	1654.464	1708.408	415.01	1702.612	1704.289	1715.344	1747.548	1762.907	1752.665	1717.038	1704.476	1765.133	1723.616	196.954	1755.482	1629.854	1751.909	1700.899	1696.153	1734.08	452.26	327.03	432.247	295.776	1743.012	1727.786	227.639	1704.153	350.221	1708.906	1710.675	420.383	1721.584	1738.577	184.421	180.295	224.232	514.103	1699.058	673.638	1657.307	1727.71	1721.375	371.169	1700.709	323.111	1768.242	403.25	501.927	1732.163	441.025	271.855	1764.672	1752.992	455.858	1704.875	1754.727	347.056	1728.767	1748.412	438.903	1779.775	455.682	352.342	1764.999	1692.397	1667.104	1689.645	1773.436	1715.767	438.332	471.022	1738.525	534.292	1719.327	1726.854	364.216	0.0	407.69	1765.105	303.304	
SHH_WT_models_highres42018.py	1641.533	350.435	393.831	1636.924	1590.178	1660.921	480.176	1625.086	1627.24	1642.494	1666.413	1687.317	1679.659	1656.744	1650.594	1690.551	1650.542	426.882	1678.019	1585.138	1679.22	1654.675	1623.428	1654.912	501.59	476.905	309.346	466.095	1662.998	1672.234	426.115	1660.945	487.043	1656.608	1656.799	497.328	1669.805	1667.843	393.07	397.994	458.594	502.246	1622.662	692.002	1592.739	1669.249	1674.327	458.644	1622.499	412.577	1688.325	548.558	520.786	1655.795	507.613	415.128	1683.974	1682.868	492.045	1624.279	1680.349	505.076	1670.975	1675.084	398.946	1704.253	500.616	466.545	1694.355	1623.892	1619.417	1644.402	1695.09	1636.255	491.616	559.654	1683.975	607.036	1639.603	1665.589	500.304	407.69	0.0	1694.314	497.424	
SHH_WT_models_highres16398.py	258.196	1786.476	1786.754	413.758	371.56	423.141	1766.516	388.359	363.565	286.618	214.876	338.173	368.806	465.801	430.163	357.446	323.734	1802.342	366.396	517.937	377.864	421.213	429.563	342.609	1778.643	1729.412	1746.813	1795.929	347.572	456.327	1772.031	412.326	1726.09	457.283	452.842	1774.401	436.711	323.69	1797.227	1772.787	1796.078	1704.41	406.428	1790.301	510.328	426.148	364.672	1758.392	318.101	1801.961	378.036	1771.424	1762.336	384.42	1788.261	1761.641	332.326	307.544	1733.637	391.436	279.706	1727.978	479.232	419.753	1716.782	387.14	1744.493	1717.226	414.432	323.508	476.527	465.197	436.143	396.918	1769.894	1765.928	458.186	1745.225	287.655	455.013	1729.593	1765.105	1694.314	0.0	1803.516	
SHH_WT_models_highres43177.py	1749.216	328.193	273.628	1738.442	1688.394	1752.707	403.556	1722.566	1728.573	1747.604	1785.769	1767.654	1752.934	1749.934	1744.277	1757.028	1750.438	242.397	1757.897	1678.403	1747.087	1752.079	1710.531	1764.017	452.415	396.658	422.856	170.497	1762.031	1770.157	293.923	1752.858	405.494	1738.527	1758.285	406.885	1771.292	1750.606	275.678	272.751	227.457	446.767	1718.639	734.209	1696.171	1772.555	1774.672	447.674	1725.502	323.605	1764.934	336.52	494.836	1744.937	338.638	233.241	1775.381	1763.519	480.169	1735.552	1774.0	420.784	1761.997	1746.065	373.319	1765.313	421.35	451.943	1752.109	1737.715	1711.105	1739.407	1766.533	1726.45	302.856	317.347	1781.745	468.764	1737.887	1774.983	430.761	303.304	497.424	1803.516	0.0	
